Date Saved,2025/12/04 20:18:11
Spectral Data 526[nm],0.000162844153
Spectral Data 527[nm],0.000155693706
Spectral Data 528[nm],0.000148460662
Spectral Data 529[nm],0.000141122830
Spectral Data 530[nm],0.000133709662
Spectral Data 531[nm],0.000126329411
Spectral Data 532[nm],0.000119096876
Spectral Data 533[nm],0.000112126778
Spectral Data 534[nm],0.000105498868
Spectral Data 535[nm],0.000099222052
Spectral Data 536[nm],0.000093297356
Spectral Data 537[nm],0.000087725741
Spectral Data 538[nm],0.000082498082
Spectral Data 539[nm],0.000077580342
Spectral Data 540[nm],0.000072934177
Spectral Data 541[nm],0.000068521236
Spectral Data 542[nm],0.000064309803
Spectral Data 543[nm],0.000060291022
Spectral Data 544[nm],0.000056460944
Spectral Data 545[nm],0.000052815623
Spectral Data 546[nm],0.000049349932
Spectral Data 547[nm],0.000046067315
Spectral Data 548[nm],0.000042970583
Spectral Data 549[nm],0.000040062438
Spectral Data 550[nm],0.000037343925
Spectral Data 551[nm],0.000034810953
Spectral Data 552[nm],0.000032455962
Spectral Data 553[nm],0.000030271145
Spectral Data 554[nm],0.000028248152
Spectral Data 555[nm],0.000026368869
Spectral Data 556[nm],0.000024607049
Spectral Data 557[nm],0.000022936230
Spectral Data 558[nm],0.000021330192
Spectral Data 559[nm],0.000019773497
Spectral Data 560[nm],0.000018265886
Spectral Data 561[nm],0.000016808237
Spectral Data 562[nm],0.000015401407
Spectral Data 563[nm],0.000014052022
Spectral Data 564[nm],0.000012781407
Spectral Data 565[nm],0.000011612808
Spectral Data 566[nm],0.000010569468
Spectral Data 567[nm],0.000009668306
Spectral Data 568[nm],0.000008897034
Spectral Data 569[nm],0.000008235284
Spectral Data 570[nm],0.000007662693
Spectral Data 571[nm],0.000007157341
Spectral Data 572[nm],0.000006684230
Spectral Data 573[nm],0.000006201809
Spectral Data 574[nm],0.000005668476
Spectral Data 575[nm],0.000005044689
Spectral Data 576[nm],0.000004327388
Spectral Data 577[nm],0.000003544698
Spectral Data 578[nm],0.000002725740
Spectral Data 579[nm],0.000001899608
Spectral Data 580[nm],0.000001091196
Spectral Data 581[nm],0.000000319038
Spectral Data 582[nm],0.000000000000
Spectral Data 583[nm],0.000000000000
Spectral Data 584[nm],0.000000000000
Spectral Data 585[nm],0.000000000000
Spectral Data 586[nm],0.000000000000
Spectral Data 587[nm],0.000000000000
Spectral Data 588[nm],0.000000000000
Spectral Data 589[nm],0.000000000000
Spectral Data 590[nm],0.000000000000
Spectral Data 591[nm],0.000000000000
Spectral Data 592[nm],0.000000000000
Spectral Data 593[nm],0.000000000000
Spectral Data 594[nm],0.000000000000
Spectral Data 595[nm],0.000000000000
Spectral Data 596[nm],0.000000000000
Spectral Data 597[nm],0.000000000000
Spectral Data 598[nm],0.000000000000
Spectral Data 599[nm],0.000000000000
Spectral Data 600[nm],0.000000000000
Spectral Data 601[nm],0.000000000000
Spectral Data 602[nm],0.000000000000
Spectral Data 603[nm],0.000000000000
Spectral Data 604[nm],0.000000000000
Spectral Data 605[nm],0.000000000000
Spectral Data 606[nm],0.000000000000
Spectral Data 607[nm],0.000000000000
Spectral Data 608[nm],0.000000000000
Spectral Data 609[nm],0.000000000000
Spectral Data 610[nm],0.000000000000
Spectral Data 611[nm],0.000000000000
Spectral Data 612[nm],0.000000000000
Spectral Data 613[nm],0.000000000000
Spectral Data 614[nm],0.000000000000
Spectral Data 615[nm],0.000000000000
Spectral Data 616[nm],0.000000000000
Spectral Data 617[nm],0.000000000000
Spectral Data 618[nm],0.000000000000
Spectral Data 619[nm],0.000000000000
Spectral Data 620[nm],0.000000000000
Spectral Data 621[nm],0.000000000000
Spectral Data 622[nm],0.000000000000
Spectral Data 623[nm],0.000000000000
Spectral Data 624[nm],0.000000000000
Spectral Data 625[nm],0.000000000000
Spectral Data 626[nm],0.000000000000
Spectral Data 627[nm],0.000000000000
Spectral Data 628[nm],0.000000000000
Spectral Data 629[nm],0.000000000000
Spectral Data 630[nm],0.000000000000
Spectral Data 631[nm],0.000000000000
Spectral Data 632[nm],0.000000000000
Spectral Data 633[nm],0.000000000000
Spectral Data 634[nm],0.000000000000
Spectral Data 635[nm],0.000000000000
Spectral Data 636[nm],0.000000000000
Spectral Data 637[nm],0.000000000000
Spectral Data 638[nm],0.000000000000
Spectral Data 639[nm],0.000000000000
Spectral Data 640[nm],0.000000000000
Spectral Data 641[nm],0.000000000000
Spectral Data 642[nm],0.000000000000
Spectral Data 643[nm],0.000000000000
Spectral Data 644[nm],0.000000000000
Spectral Data 645[nm],0.000000000000
Spectral Data 646[nm],0.000000000000
Spectral Data 647[nm],0.000000000000
Spectral Data 648[nm],0.000000000000
Spectral Data 649[nm],0.000000000000
Spectral Data 650[nm],0.000000000000
Spectral Data 651[nm],0.000000000000
Spectral Data 652[nm],0.000000000000
Spectral Data 653[nm],0.000000000000
Spectral Data 654[nm],0.000000000000
Spectral Data 655[nm],0.000000000000
Spectral Data 656[nm],0.000000000000
Spectral Data 657[nm],0.000000000000
Spectral Data 658[nm],0.000000000000
Spectral Data 659[nm],0.000000000000
Spectral Data 660[nm],0.000000000000
Spectral Data 661[nm],0.000000000000
Spectral Data 662[nm],0.000000000000
Spectral Data 663[nm],0.000000000000
Spectral Data 664[nm],0.000000000000
Spectral Data 665[nm],0.000000000000
Spectral Data 666[nm],0.000000000000
Spectral Data 667[nm],0.000000000000
Spectral Data 668[nm],0.000000000000
Spectral Data 669[nm],0.000000000000
Spectral Data 670[nm],0.000000000000
Spectral Data 671[nm],0.000000000000
Spectral Data 672[nm],0.000000000000
Spectral Data 673[nm],0.000000000000
Spectral Data 674[nm],0.000000000000
Spectral Data 675[nm],0.000000000000
Spectral Data 676[nm],0.000000000000
Spectral Data 677[nm],0.000000000000
Spectral Data 678[nm],0.000000000000
Spectral Data 679[nm],0.000000000000
Spectral Data 680[nm],0.000000000000
Spectral Data 681[nm],0.000000000000
Spectral Data 682[nm],0.000000000000
Spectral Data 683[nm],0.000000000000
Spectral Data 684[nm],0.000000000000
Spectral Data 685[nm],0.000000000000
Spectral Data 686[nm],0.000000000000
Spectral Data 687[nm],0.000000000000
Spectral Data 688[nm],0.000000000000
Spectral Data 689[nm],0.000000000000
